date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:57:20	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2017%20Jun%202023%2021:57:21%20GMT	http://www.huntsville364.org/robots.txt		(from )
16:57:20	8871/8871	---M-Z	200	added ('OK')	text/html	etag:%222ce00d2-22a7-5f30f624746b1-gzip%22	http://www.huntsville364.org/	C:/My%20Web%20Sites/Huntsville264/www.huntsville364.org/index.html	(from )
16:57:21	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%222ce2837-47e-5e45c9b40951b%22	http://www.huntsville364.org/favicon.ico	C:/My%20Web%20Sites/Huntsville264/www.huntsville364.org/favicon.ico	(from http://www.huntsville364.org/)
16:57:21	113498/113498	---M-Z	200	added ('OK')	text/css	etag:%222ce2d77-1bb5a-51be78fa67740-gzip%22	http://www.huntsville364.org/css/bootstrap.min.css	C:/My%20Web%20Sites/Huntsville264/www.huntsville364.org/css/bootstrap.min.css	(from http://www.huntsville364.org/)
16:57:21	32665/32665	---M-Z	200	added ('OK')	text/css	etag:%222ce2d79-7f99-58cb7e70c8f47-gzip%22	http://www.huntsville364.org/css/style.css	C:/My%20Web%20Sites/Huntsville264/www.huntsville364.org/css/style.css	(from http://www.huntsville364.org/)
16:57:21	28321/28321	---M-Z	200	added ('OK')	text/css	etag:%222ce2d78-6ea1-51be78fb5b980-gzip%22	http://www.huntsville364.org/css/font-awesome.css	C:/My%20Web%20Sites/Huntsville264/www.huntsville364.org/css/font-awesome.css	(from http://www.huntsville364.org/)
16:57:21	69747/69747	---M-Z	200	added ('OK')	text/css	etag:%222ce2d75-11073-51be78fa67740-gzip%22	http://www.huntsville364.org/css/animate.css	C:/My%20Web%20Sites/Huntsville264/www.huntsville364.org/css/animate.css	(from http://www.huntsville364.org/)
16:57:22	8871/8871	---M-Z	200	added ('OK')	text/html	etag:%222ce00d2-22a7-5f30f624746b1-gzip%22	http://www.huntsville364.org/index.html	C:/My%20Web%20Sites/Huntsville264/www.huntsville364.org/index-2.html	(from http://www.huntsville364.org/)
16:57:22	26463/26463	---M-Z	200	added ('OK')	text/html	etag:%222ce01fa-675f-5f448e99ae9cd-gzip%22	http://www.huntsville364.org/history.html	C:/My%20Web%20Sites/Huntsville264/www.huntsville364.org/history.html	(from http://www.huntsville364.org/)
16:57:22	33377/33377	---M-Z	200	added ('OK')	text/html	etag:%222ce01c0-8261-5f448ea51ca90-gzip%22	http://www.huntsville364.org/members.html	C:/My%20Web%20Sites/Huntsville264/www.huntsville364.org/members.html	(from http://www.huntsville364.org/)
16:57:22	109619/109619	---M-Z	200	added ('OK')	text/html	etag:%222ce01e9-1ac33-5e50065f6c3d8-gzip%22	http://www.huntsville364.org/education.html	C:/My%20Web%20Sites/Huntsville264/www.huntsville364.org/education.html	(from http://www.huntsville364.org/)
16:57:24	37518/37518	---M-Z	200	added ('OK')	text/html	etag:%222ce2843-928e-5e496a09544e4-gzip%22	http://www.huntsville364.org/yorkrite.html	C:/My%20Web%20Sites/Huntsville264/www.huntsville364.org/yorkrite.html	(from http://www.huntsville364.org/)
16:57:24	8934/8934	---M-Z	200	added ('OK')	text/html	etag:%222ce01ea-22e6-5e4969f94d7fa-gzip%22	http://www.huntsville364.org/links.html	C:/My%20Web%20Sites/Huntsville264/www.huntsville364.org/links.html	(from http://www.huntsville364.org/)
16:57:33	43238/43238	---M--	200	added ('OK')	image/png	etag:%222ce2d97-a8e6-51beff16adf40%22	http://www.huntsville364.org/img/grandLodgeAR.png	C:/My%20Web%20Sites/Huntsville264/www.huntsville364.org/img/grandLodgeAR.png	(from http://www.huntsville364.org/)
16:57:40	43238/43238	---M--	200	added ('OK')	image/png	etag:%222ce2d94-a8e6-51beff15b9d00%22	http://www.huntsville364.org/img/grandChapter.png	C:/My%20Web%20Sites/Huntsville264/www.huntsville364.org/img/grandChapter.png	(from http://www.huntsville364.org/)
16:57:48	43238/43238	---M--	200	added ('OK')	image/png	etag:%222ce2d95-a8e6-51beff16adf40%22	http://www.huntsville364.org/img/grandCouncil.png	C:/My%20Web%20Sites/Huntsville264/www.huntsville364.org/img/grandCouncil.png	(from http://www.huntsville364.org/)
16:57:49	152704/152704	---M--	200	added ('OK')	image/jpeg	etag:%222ce0bee-25480-5f0eb5e75a06f%22	http://www.huntsville364.org/Installation%20Program%202022.jpg	C:/My%20Web%20Sites/Huntsville264/www.huntsville364.org/Installation%20Program%202022.jpg	(from http://www.huntsville364.org/)
16:57:55	43238/43238	---M--	200	added ('OK')	image/png	etag:%222ce2d96-a8e6-51beff16adf40%22	http://www.huntsville364.org/img/grandEncampment.png	C:/My%20Web%20Sites/Huntsville264/www.huntsville364.org/img/grandEncampment.png	(from http://www.huntsville364.org/)
